Muestra,Proteína,Tiempo
E1,14.60,0
E1,14.34,0
E1,13.84,0
E1,14.68,0
E1,16.44,0
I1,22.20,0
I1,20.30,0
I1,20.49,0
I1,17.50,0
I1,17.70,0
N1,24.82,0
N1,24.60,0
N1,23.57,0
N1,25.24,0
N1,26.42,0
E1,20.09,24
E1,20.88,24
E1,22.43,24
E1,21.64,24
E1,20.93,24
I1,21.89,24
I1,23.02,24
I1,28.89,24
I1,22.90,24
I1,22.39,24
N1,26.50,24
N1,29.94,24
N1,25.87,24
N1,26.50,24
N1,26.58,24
E1,19.82,48
E1,20.02,48
E1,22.23,48
E1,20.80,48
E1,20.66,48
I1,22.59,48
I1,21.19,48
I1,20.69,48
I1,21.08,48
I1,20.80,48
N1,24.94,48
N1,25.77,48
N1,24.52,48
N1,23.73,48
N1,25.22,48
E1,21.47,120
E1,23.51,120
E1,26.05,120
E1,23.90,120
E1,24.15,120
I1,22.42,120
I1,23.09,120
I1,23.99,120
I1,24.15,120
I1,23.48,120
N1,26.19,120
N1,27.81,120
N1,27.67,120
N1,28.23,120
N1,29.21,120